"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.875991000E-3,-1.599326730E0,2.413355350E0,8.705317497E0,9.174131172E0
1.391130300E-2,-1.407790542E0,2.403778553E0,9.002198219E0,9.423353879E0
1.894661700E-2,-1.197100878E0,2.250549555E0,9.241618156E0,9.586737190E0
2.398193000E-2,-1.063025594E0,2.250549555E0,9.375694275E0,9.700445343E0
2.901724300E-2,-8.810662031E-1,2.116474390E0,9.662998199E0,9.931227301E0
3.402203800E-2,-8.714894056E-1,2.059013367E0,9.873687744E0,1.012367223E1
3.905735200E-2,-8.619126081E-1,1.905784607E0,1.018972206E1,1.040217977E1
4.409266500E-2,-9.002198577E-1,1.896207690E0,1.027591324E1,1.048810718E1
4.912797800E-2,-9.864110947E-1,1.742978811E0,1.041956615E1,1.061029410E1
5.413277300E-2,-1.101332784E0,1.666364431E0,1.040998936E1,1.059988598E1
5.916808700E-2,-1.369483352E0,1.551442742E0,1.049618053E1,1.069823654E1
6.420339900E-2,-1.752555609E0,1.417367458E0,1.044829655E1,1.068865204E1
6.923871300E-2,-1.350329757E0,1.359906554E0,1.012268448E1,1.030249860E1
7.427402600E-2,-1.331176162E0,1.321599364E0,9.758766174E0,9.937412747E0
7.927882200E-2,-1.455674648E0,1.177947283E0,9.595960617E0,9.776963161E0
8.431413400E-2,-1.407790542E0,1.244984865E0,9.682151794E0,9.862855818E0
8.934944700E-2,-1.158793569E0,1.321599364E0,9.758766174E0,9.915792689E0
9.438476000E-2,-1.015141487E0,1.493981838E0,9.844957352E0,1.000927966E1
9.942007300E-2,-9.385270476E-1,1.580173135E0,1.001733971E1,1.018454098E1
1.044248690E-1,-9.672574997E-1,1.733402014E0,9.988609314E0,1.018393763E1
1.094601820E-1,-9.481038451E-1,1.915361404E0,1.009395409E1,1.031772355E1
1.144954950E-1,-1.005564690E0,1.838746905E0,1.014183807E1,1.035611076E1
1.195308080E-1,-9.576807022E-1,1.867477298E0,1.015141487E1,1.036609124E1
1.245661220E-1,-9.097966552E-1,1.829170108E0,1.018972206E1,1.039249869E1
1.295709170E-1,-9.289502501E-1,1.762132406E0,1.011310768E1,1.030742481E1
1.346062300E-1,-8.331822157E-1,1.790862918E0,1.017056847E1,1.036059098E1
1.396415430E-1,-8.523358107E-1,1.829170108E0,9.988609314E0,1.019041980E1
1.446768560E-1,-9.193734527E-1,1.867477298E0,1.008437729E1,1.029695995E1
