"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.944660000E-3,3.447650373E-1,2.020706177E0,6.234501362E0,6.562859408E0
1.497997800E-2,6.416460276E-1,1.781286120E0,5.947196960E0,6.241301271E0
2.001529600E-2,8.140285611E-1,1.551442742E0,5.889736176E0,6.144803439E0
2.505061400E-2,1.005564690E0,1.551442742E0,7.048529625E0,7.286968149E0
3.005541400E-2,9.002198577E-1,1.359906554E0,7.058106422E0,7.244073985E0
3.509073300E-2,7.661445141E-1,1.072602391E0,7.192182064E0,7.311972111E0
4.012605100E-2,4.405331016E-1,7.661445141E-1,9.490615845E0,9.531675401E0
4.513085200E-2,1.513135433E0,3.064578176E-1,8.954314232E0,9.086431566E0
5.016617000E-2,1.015141487E0,1.628057212E-1,1.208592987E1,1.212958032E1
5.520148800E-2,9.768342972E-1,-1.532289088E-1,1.149216843E1,1.153462698E1
6.020629000E-2,1.331176162E0,-4.405331016E-1,1.061110210E1,1.070334468E1
6.524160700E-2,1.340752959E0,-6.320692301E-1,1.066856289E1,1.077104285E1
7.027692500E-2,1.436521053E0,-7.948749661E-1,1.003649330E1,1.016988774E1
7.531224400E-2,1.407790542E0,-7.661445141E-1,9.883264542E0,1.001238082E1
8.031704500E-2,1.264138460E0,-8.714894056E-1,1.125274754E1,1.135701840E1
8.535236300E-2,1.369483352E0,-1.082179189E0,1.226788998E1,1.239143740E1
9.038768000E-2,1.273715258E0,-1.312022567E0,1.248815632E1,1.262132331E1
9.539248100E-2,1.359906554E0,-1.350329757E0,1.134851646E1,1.150919468E1
1.004278000E-1,1.465251446E0,-1.388636947E0,1.097502041E1,1.115913739E1
1.054631180E-1,1.896207690E0,-1.082179189E0,1.080263805E1,1.102105731E1
1.104679190E-1,2.317587137E0,-5.937620401E-1,1.078348446E1,1.104569149E1
1.155032370E-1,2.624045134E0,-5.746084079E-2,1.042914295E1,1.075434504E1
1.205385550E-1,2.968810081E0,7.086837292E-1,9.327810287E0,9.814484739E0
1.255738730E-1,3.351882458E0,1.264138460E0,8.963891029E0,9.653212131E0
1.305786740E-1,3.629609823E0,1.484405041E0,9.040505409E0,9.854352533E0
1.356139920E-1,4.098873138E0,1.072602391E0,8.427590370E0,9.432683412E0
1.406493110E-1,4.319139957E0,7.469909191E-1,7.891288757E0,9.026926590E0
