"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.209109000E-3,-3.552995205E0,2.624045134E0,5.832275391E0,7.316066158E0
1.324442400E-2,-3.256114244E0,2.470816135E0,6.177040577E0,7.406959068E0
1.827974000E-2,-3.016694069E0,2.518700123E0,6.186617374E0,7.329292459E0
2.328453800E-2,-2.662352324E0,2.566584110E0,6.186617374E0,7.207614614E0
2.831985300E-2,-2.470816135E0,2.461239338E0,6.090848923E0,7.018623231E0
3.335516800E-2,-2.164358377E0,2.700659513E0,6.177040577E0,7.080525354E0
3.839048400E-2,-1.618480325E0,2.882618904E0,6.627150536E0,7.405949941E0
4.339528300E-2,-9.576807022E-1,2.930502892E0,6.809109688E0,7.474555122E0
4.843059800E-2,-6.512228847E-1,2.643198729E0,7.163451672E0,7.663265010E0
5.346591300E-2,-1.513135433E0,2.221819162E0,7.843404770E0,8.291263933E0
5.850122900E-2,-1.091755986E0,1.886630893E0,7.153874874E0,7.478584958E0
6.353654400E-2,-1.177947283E0,1.513135433E0,7.824251175E0,8.055808159E0
6.854134300E-2,-8.714894056E-1,1.283292055E0,8.159439087E0,8.305587186E0
7.357665800E-2,-8.331822157E-1,9.576807022E-1,8.734047890E0,8.825810868E0
7.861197400E-2,-1.101332784E0,1.244984865E-1,9.538499832E0,9.602677378E0
8.364728900E-2,-5.746083856E-1,3.160346150E-1,1.122401714E1,1.124315852E1
8.868260500E-2,5.650315881E-1,2.777273953E-1,1.175074196E1,1.176759660E1
9.368740200E-2,2.039859772E0,1.628057212E-1,1.220085144E1,1.237126952E1
9.872271900E-2,3.045424461E0,1.628057212E-1,1.235408115E1,1.272495332E1
1.037580340E-1,3.217807055E0,-1.340752989E-1,1.263180828E1,1.303590576E1
1.087933500E-1,2.987963676E0,-1.436520964E-1,1.320641613E1,1.354097448E1
1.137981470E-1,2.624045134E0,1.532289088E-1,1.335964584E1,1.361577133E1
1.188334630E-1,2.087743998E0,4.022258818E-1,1.357991219E1,1.374534378E1
1.238687780E-1,1.532289028E0,5.458779931E-1,1.353202820E1,1.362944165E1
1.289040940E-1,1.206677675E0,6.033388376E-1,1.302445698E1,1.309414252E1
1.339394090E-1,7.852981687E-1,6.224924326E-1,1.256477070E1,1.260466790E1
1.389442080E-1,3.543418646E-1,6.416460276E-1,1.221042824E1,1.223240882E1
1.439795230E-1,1.436520964E-1,6.607996821E-1,1.150174522E1,1.152160732E1
1.490148390E-1,-2.873042040E-2,6.991068721E-1,1.062067890E1,1.064370218E1
1.540501540E-1,-2.873042040E-2,7.374141216E-1,9.768342972E0,9.796179329E0
1.590854690E-1,-2.968810201E-1,6.320692301E-1,9.021351814E0,9.048338986E0
1.640902680E-1,-3.926490843E-1,6.224924326E-1,8.858546257E0,8.889066988E0
1.691255840E-1,-2.202665508E-1,6.703764796E-1,8.743624687E0,8.772051906E0
1.741608990E-1,1.340752989E-1,7.757213712E-1,8.475474358E0,8.511955440E0
1.791962140E-1,5.075707436E-1,7.661445141E-1,8.207323074E0,8.258617168E0
1.842010120E-1,8.331822157E-1,7.086837292E-1,8.398859978E0,8.469785957E0
1.892363280E-1,7.948749661E-1,5.075707436E-1,8.676587105E0,8.727692596E0
1.942716440E-1,9.289502501E-1,4.309563041E-1,9.002198219E0,9.060256325E0
1.993069590E-1,9.289502501E-1,2.968810201E-1,9.251194954E0,9.302456395E0
2.043422750E-1,9.576807022E-1,2.202665508E-1,9.481039047E0,9.531829368E0
2.093470730E-1,9.289502501E-1,2.298433632E-1,9.691728592E0,9.738859258E0
2.143823880E-1,1.034295082E0,1.915361285E-1,9.538499832E0,9.596323851E0
2.194177030E-1,1.177947283E0,1.915361285E-1,9.279925346E0,9.356348664E0
2.244530190E-1,1.149216771E0,3.351882398E-1,8.877699852E0,8.958046941E0
2.294883340E-1,1.015141487E0,5.746083856E-1,8.705317497E0,8.783122438E0
2.344931330E-1,9.576807022E-1,6.799532771E-1,8.101978302E0,8.186668504E0
2.395284480E-1,9.289502501E-1,8.714894056E-1,7.469909191E0,7.577729586E0
2.445637640E-1,9.672574997E-1,9.576807022E-1,7.125144482E0,7.253993609E0
2.495990790E-1,1.139639974E0,1.015141487E0,6.828263283E0,6.996747170E0
2.546343940E-1,1.292868972E0,1.005564690E0,6.914454460E0,7.105797000E0
2.596391930E-1,1.436521053E0,8.427590132E-1,7.096413612E0,7.289233269E0
2.646745090E-1,1.369483352E0,6.607996821E-1,7.402871609E0,7.557423432E0
2.697098240E-1,1.302445769E0,3.926490843E-1,7.642292023E0,7.762420089E0
2.747451390E-1,1.244984865E0,1.723825186E-1,7.891288757E0,7.990753488E0
2.797804550E-1,1.053448796E0,-8.619125932E-2,8.121131897E0,8.189625546E0
2.847852540E-1,1.091755986E0,-2.681505978E-1,8.130708694E0,8.208060657E0
2.898205690E-1,1.063025594E0,-3.543418646E-1,7.891288757E0,7.970446651E0
2.948558840E-1,1.197100878E0,-4.022258818E-1,7.651868820E0,7.755380881E0
2.998912000E-1,1.484405041E0,-3.830722570E-1,7.680599213E0,7.832101056E0
3.048959980E-1,1.905784607E0,-3.639186621E-1,8.006210327E0,8.237952146E0
3.099313130E-1,2.173935175E0,-3.447650373E-1,8.772355080E0,9.044283870E0
3.149666280E-1,2.365471363E0,-3.543418646E-1,9.366117477E0,9.666704171E0
3.200019440E-1,2.327163935E0,-3.926490843E-1,1.018972206E1,1.045945988E1
3.250372590E-1,2.403778553E0,-4.118026793E-1,1.230619717E1,1.254552595E1
3.300420580E-1,2.710236311E0,-1.532289088E-1,1.389594650E1,1.415860831E1
3.350773730E-1,2.949656487E0,-1.915361360E-2,1.087925243E1,1.127204390E1
3.401126890E-1,2.777273893E0,6.703764945E-2,9.548076630E0,9.944018888E0
3.451480040E-1,2.777273893E0,8.619125932E-2,8.772355080E0,9.201896155E0
3.501833200E-1,2.422932148E0,-7.661445439E-2,8.571242332E0,8.907449977E0
3.551881180E-1,1.991975784E0,-2.585737705E-1,8.791508675E0,9.018062580E0
3.602234340E-1,1.771709204E0,-6.224924326E-1,9.088389397E0,9.280370260E0
3.652587490E-1,1.628057122E0,-8.810662031E-1,8.743624687E0,8.937439248E0
3.702940650E-1,2.078166962E0,-8.140285611E-1,7.603984833E0,7.924771653E0
3.752988620E-1,2.681505919E0,-4.884171486E-1,6.387730122E0,6.944934946E0
3.803341790E-1,3.208230257E0,-3.926490843E-1,5.372588634E0,6.269898191E0
3.853694940E-1,4.185064793E0,-1.819593310E-1,4.750096321E0,6.333347581E0
3.904048100E-1,6.272808552E0,1.340752959E0,6.339846134E0,9.018835547E0
3.954401250E-1,6.330269337E0,8.619126081E-1,5.861005783E0,8.669866897E0
4.004449230E-1,5.707777023E0,-2.298433632E-1,6.540958881E0,8.684220725E0
4.054802380E-1,4.807557106E0,-1.369483352E0,7.728483200E0,9.204213304E0
4.105155540E-1,4.137180328E0,-2.078166962E0,8.236053467E0,9.448154089E0
4.155508690E-1,3.629609823E0,-2.480392933E0,7.872135162E0,9.016480942E0
4.205861840E-1,3.744531393E0,-2.700659513E0,7.335834026E0,8.667729693E0
4.255909830E-1,3.342305660E0,-2.959233284E0,7.038952827E0,8.335162006E0
4.306262980E-1,1.963245392E0,-2.873042107E0,7.153874874E0,7.955289381E0
4.356616140E-1,2.968810201E-1,-2.547430515E0,6.818686485E0,7.285054973E0
4.406969290E-1,-1.733402014E0,-2.336740971E0,6.828263283E0,7.422278650E0
4.457322450E-1,-3.342305660E0,-2.221819162E0,6.617573261E0,7.739493742E0
4.507370430E-1,-4.050989151E0,-2.068590164E0,5.841852188E0,7.403837880E0
4.557723590E-1,-3.878606796E0,-2.212242365E0,4.807557106E0,6.561266058E0
4.608076740E-1,-3.600879431E0,-2.738966703E0,3.859453201E0,5.946734422E0
4.658429900E-1,-2.509123325E0,-3.505111217E0,2.576161146E0,5.021763710E0
4.708783050E-1,-6.320692301E-1,-3.888183594E0,7.469909191E-1,4.009423725E0
4.758831040E-1,1.024718285E0,-3.380612850E0,-9.864110947E-1,3.667641975E0
4.809184190E-1,2.461239338E0,-2.135627985E0,-2.863465309E0,4.337976434E0
4.859537350E-1,3.706224203E0,-9.959878922E-1,-4.702212334E0,6.069504968E0
4.909890500E-1,4.730942726E0,-3.160346150E-1,-5.851428986E0,7.531329108E0
4.960243650E-1,5.267243862E0,3.830722719E-2,-6.148310184E0,8.096112862E0
5.010291630E-1,5.870582581E0,-2.394201756E-1,-5.822698593E0,8.271933315E0
5.060644790E-1,7.010222435E0,-1.254561663E0,-5.142745018E0,8.784359389E0
5.110997940E-1,6.531382084E0,-2.212242365E0,-4.012681961E0,7.978382338E0
5.161351090E-1,5.717353821E0,-3.332728863E0,-3.131615877E0,7.321354682E0
5.211704260E-1,4.778826714E0,-4.127603531E0,-2.604891539E0,6.830794653E0
5.261752240E-1,4.213795185E0,-4.750096321E0,-2.777273893E0,6.930565287E0
5.312105390E-1,3.897760391E0,-5.544970989E0,-1.991975784E0,7.064503299E0
5.362458540E-1,3.045424461E0,-6.828263283E0,6.991068721E-1,7.509230322E0
5.412811700E-1,2.279279947E0,-7.335834026E0,-1.034295082E0,7.751086650E0
5.463164850E-1,1.235408068E0,-8.724471092E0,-4.788403213E-2,8.811635592E0
5.513212840E-1,1.628057122E0,-9.567230225E0,-8.619125932E-2,9.705147763E0
5.563565990E-1,1.896207690E0,-9.816226959E0,-2.489969730E-1,1.000079571E1
5.613919150E-1,1.829170108E0,-9.701305389E0,-6.895300746E-1,9.896294320E0
5.664272300E-1,2.173935175E0,-9.509769440E0,-1.369483352E0,9.850745839E0
5.714625460E-1,3.189076662E0,-9.691728592E0,-2.212242365E0,1.044001098E1
5.764673440E-1,4.319139957E0,-9.950302124E0,-2.863465309E0,1.121886429E1
5.815026600E-1,5.640739441E0,-1.026633644E1,-2.987963676E0,1.208898392E1
5.865379750E-1,7.460332394E0,-1.056321812E1,-2.834734917E0,1.323910339E1
5.915732910E-1,9.279925346E0,-1.069729328E1,-2.298433542E0,1.434684267E1
5.966086060E-1,1.086967564E1,-1.074517727E1,-1.580173135E0,1.536572908E1
6.016134040E-1,1.218169785E1,-1.073560047E1,-6.703764945E-2,1.623734504E1
6.066487190E-1,1.335964584E1,-1.073560047E1,8.427590132E-1,1.715935597E1
6.116840350E-1,1.473870564E1,-1.009395409E1,2.020706177E0,1.797778091E1
6.167193510E-1,1.612734222E1,-9.864110947E0,3.150769472E0,1.916557331E1
6.217241490E-1,1.715206146E1,-9.902418137E0,4.625597477E0,2.033831973E1
6.267594640E-1,1.778413010E1,-1.016099167E1,5.813121796E0,2.129115826E1
6.317947790E-1,1.775539970E1,-1.058237171E1,6.847416878E0,2.177447881E1
6.368300950E-1,1.717121506E1,-1.108994198E1,7.738059998E0,2.185669262E1
6.418654100E-1,1.624226379E1,-1.165497398E1,7.805097580E0,2.146087370E1
