"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.870318000E-3,-2.978386879E0,4.223371983E0,6.464344501E0,8.276195330E0
1.390563100E-2,-3.160346270E0,4.118026733E0,6.445190907E0,8.275652152E0
1.894094400E-2,-3.150769472E0,4.003105164E0,7.134721279E0,8.766780877E0
2.394574000E-2,-3.112462282E0,4.031835556E0,8.044517517E0,9.521416990E0
2.898105300E-2,-2.892195702E0,4.031835556E0,8.571242332E0,9.903872427E0
3.401636600E-2,-2.365471363E0,4.070142746E0,8.829815865E0,1.000635623E1
3.902116200E-2,-1.829170108E0,4.022258759E0,9.040505409E0,1.006256264E1
4.405647500E-2,-1.302445769E0,3.878606796E0,9.337387085E0,1.019444718E1
4.909178900E-2,-8.331822157E-1,3.773261786E0,1.008437729E1,1.079936861E1
5.412710100E-2,-4.022258818E-1,3.667917013E0,9.959878922E0,1.062142123E1
5.913189700E-2,-2.394201756E-1,3.533841610E0,1.086009884E1,1.142309526E1
6.416721000E-2,-2.873042040E-2,3.351882458E0,1.196143150E1,1.242222947E1
6.920252400E-2,3.064578176E-1,3.026270866E0,1.249773312E1,1.286256447E1
7.420731900E-2,7.948749661E-1,2.806004286E0,1.260307789E1,1.293611451E1
7.924263200E-2,1.130063176E0,2.499546528E0,1.223915863E1,1.254279792E1
8.427794500E-2,1.312022567E0,2.308010340E0,1.223915863E1,1.252379012E1
8.931325900E-2,1.331176162E0,2.240972757E0,1.225831223E1,1.253236640E1
9.431805400E-2,1.312022567E0,2.135627985E0,1.179862595E1,1.206191877E1
9.935336700E-2,1.158793569E0,2.078166962E0,1.183693314E1,1.207371387E1
1.043886800E-1,8.714894056E-1,2.039859772E0,1.140597725E1,1.161967464E1
1.094239940E-1,5.554547906E-1,1.944091797E0,1.075475407E1,1.094316033E1
1.144287890E-1,3.160346150E-1,2.135627985E0,9.768342972E0,1.000406463E1
1.194641020E-1,-8.619125932E-2,2.260126352E0,8.772355080E0,9.059239135E0
1.244994150E-1,-5.363011956E-1,2.260126352E0,8.494627953E0,8.806502947E0
1.295042110E-1,-8.427590132E-1,2.240972757E0,8.350975990E0,8.687404770E0
1.345395240E-1,-9.959878922E-1,2.384624958E0,7.958326340E0,8.367400206E0
1.395748370E-1,-8.906430602E-1,2.375048161E0,7.354987621E0,7.780099083E0
