"property","value"
"version","1.1.12"
"build","1011208"
"fileFormat","1.16"
"deviceModel","SM-M127F"
"deviceBrand","samsung"
"deviceBoard","exynos850"
"deviceManufacturer","samsung"
"deviceBaseOS","samsung/m12nseea/m12:13/TP1A.220624.014/M127FXXU6DWI3:user/release-keys"
"deviceCodename","REL"
"deviceRelease","13"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","LIS2DLC12 Accelerometer"
"accelerometer Vendor","STM"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023942017"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","160000"
"accelerometer Power","0.15"
"accelerometer Version","1"
"linear_acceleration Name","null"
"linear_acceleration Vendor","null"
"linear_acceleration Range","null"
"linear_acceleration Resolution","null"
"linear_acceleration MinDelay","null"
"linear_acceleration MaxDelay","null"
"linear_acceleration Power","null"
"linear_acceleration Version","null"
"gravity Name","null"
"gravity Vendor","null"
"gravity Range","null"
"gravity Resolution","null"
"gravity MinDelay","null"
"gravity MaxDelay","null"
"gravity Power","null"
"gravity Version","null"
"gyroscope Name","null"
"gyroscope Vendor","null"
"gyroscope Range","null"
"gyroscope Resolution","null"
"gyroscope MinDelay","null"
"gyroscope MaxDelay","null"
"gyroscope Power","null"
"gyroscope Version","null"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","null"
"light Vendor","null"
"light Range","null"
"light Resolution","null"
"light MinDelay","null"
"light MaxDelay","null"
"light Power","null"
"light Version","null"
"proximity Name","Ear Hover Proximity Lite Sensor (ProToS Lite)"
"proximity Vendor","Samsung Electronics."
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.75"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
